k, PS21, Noise PS, Obsvd PS (PS21 + Noise)
0.028160, 1.526598, 0.005221, 1.531819
0.043755, 2.994728, 0.027560, 3.022289
0.059349, 6.242881, 0.000032, 6.242912
0.074944, 10.079157, 0.000038, 10.079195
0.090539, 13.972517, 0.007797, 13.980314
0.106134, 17.297025, 0.034898, 17.331923
0.121729, 20.255071, 1.412030, 21.667101
0.137323, 23.213118, 2.844307, 26.057425
0.152918, 24.902575, 2.211146, 27.113722
0.168513, 25.396664, 3.280859, 28.677523
0.184108, 25.890752, 2.090579, 27.981332
0.199702, 26.384841, 7.451997, 33.836837
0.215297, 26.878929, 0.240952, 27.119881
0.230892, 27.044207, 0.052499, 27.096706
0.246487, 27.125818, 0.543659, 27.669477
0.262082, 27.207429, 0.046207, 27.253636
0.277676, 27.289040, 3.292239, 30.581279
0.293271, 27.370650, 4.343002, 31.713653
0.308866, 27.452261, 15.406348, 42.858609
0.324461, 27.533872, 26.778345, 54.312217
0.340055, 27.493856, 0.761339, 28.255195
0.355650, 27.424805, 48.860164, 76.284968
0.371245, 27.355753, 29.310992, 56.666745
0.386840, 27.286702, 0.087665, 27.374367
0.402434, 27.217650, 3.789846, 31.007497
0.418029, 27.148599, 42.469025, 69.617624
0.433624, 27.079548, 0.304584, 27.384131
0.449219, 27.010496, 2.079825, 29.090322
0.464814, 26.941445, 3.955554, 30.896999
0.480408, 26.872393, 0.004344, 26.876737
0.496003, 26.789895, 0.681988, 27.471883
0.511598, 26.675233, 5.019636, 31.694869
0.527193, 26.560572, 18.007575, 44.568146
0.542787, 26.445910, 9.235967, 35.681877
0.558382, 26.331248, 102.317322, 128.648570
0.573977, 26.216586, 235.980750, 262.197337
0.589572, 26.101925, 30.400985, 56.502910
0.605167, 25.987263, 2.039180, 28.026443
0.620761, 25.872601, 360.934096, 386.806697
0.636356, 25.757939, 208.874054, 234.631993
0.651951, 25.643277, 28.595739, 54.239017
0.667546, 25.528616, 129.403388, 154.932004
0.683140, 25.413954, 38.629341, 64.043295
0.698735, 25.299292, 149.989462, 175.288754
0.714330, 25.184630, 782.621657, 807.806288
0.729925, 25.069969, 8.150942, 33.220911
0.745520, 25.001480, 4.210822, 29.212301
0.761114, 24.977344, 0.468640, 25.445984
0.776709, 24.953208, 2.698109, 27.651317
0.792304, 24.929073, 0.753331, 25.682403
0.807899, 24.904937, 32.058009, 56.962946
0.823493, 24.880801, 1.713300, 26.594101
0.839088, 24.856665, 0.157029, 25.013695
0.854683, 24.832530, 1104.731326, 1129.563855
0.870278, 24.808394, 181.154704, 205.963098
0.885872, 24.784258, 30.616151, 55.400409
0.901467, 24.760123, 0.110242, 24.870365
0.917062, 24.735987, 1.870804, 26.606790
0.932657, 24.711851, 269.036004, 293.747855
0.948252, 24.687715, 15.286057, 39.973773
0.963846, 24.663580, 432.320395, 456.983975
0.979441, 24.639444, 10.886252, 35.525696
0.995036, 24.615308, 454.914363, 479.529671
1.010631, 24.591173, 346.459846, 371.051019
1.026225, 24.567037, 60.988089, 85.555125
1.041820, 24.542901, 0.739505, 25.282406
1.057415, 24.518766, 45.990078, 70.508843
1.073010, 24.494630, 67.786355, 92.280985
1.088605, 24.470494, 506.887566, 531.358060
1.104199, 24.446358, 50.606741, 75.053100
1.119794, 24.544974, 231.255265, 255.800239
1.135389, 24.665238, 40.555002, 65.220240
1.150984, 24.785502, 13.102406, 37.887908
1.166578, 24.905766, 3267.697371, 3292.603136
1.182173, 25.026030, 748.360792, 773.386822
1.197768, 25.146294, 445.986125, 471.132418
1.213363, 25.266557, 353.468707, 378.735264
1.228958, 25.386821, 256.675261, 282.062082
1.244552, 25.507085, 75.936837, 101.443922
1.260147, 25.627349, 779.398117, 805.025466
1.275742, 25.747613, 2049.224119, 2074.971732
1.291337, 25.867877, 71.161425, 97.029302
1.306931, 25.988141, 6.839261, 32.827402
1.322526, 26.108405, 2131.260707, 2157.369112
1.338121, 26.228669, 1868.210006, 1894.438675
1.353716, 26.348933, 3061.339406, 3087.688339
1.369310, 26.469197, 101.014819, 127.484016
1.384905, 26.589460, 2427.719347, 2454.308808
1.400500, 26.709724, 72.506246, 99.215970
1.416095, 26.829988, 643.644506, 670.474494
1.431690, 26.950252, 31.664337, 58.614589
1.447284, 27.070516, 1024.322058, 1051.392574
1.462879, 27.190780, 2595.242579, 2622.433359
1.478474, 27.311044, 5500.426265, 5527.737308
1.494069, 27.431308, 5113.685595, 5141.116903
1.509663, 27.551572, 4223.155952, 4250.707523
1.525258, 27.671836, 1732.194619, 1759.866455
1.540853, 27.792099, 12425.764365, 12453.556465
1.556448, 27.912363, 498.050300, 525.962664
1.572043, 28.032627, 672.931145, 700.963772
1.587637, 28.152891, 4290.300044, 4318.452935
1.603232, 28.273155, 8.505095, 36.778250
1.618827, 28.393419, 321.917706, 350.311125
1.634422, 28.513683, 0.836615, 29.350298
1.650016, 28.633947, 1766.894861, 1795.528808
1.665611, 28.841634, 200.124459, 228.966093
1.681206, 29.204372, 392.983771, 422.188143
1.696801, 29.567110, 5498.792634, 5528.359743
1.712396, 29.929848, 1778.081354, 1808.011202
1.727990, 30.292585, 594.461473, 624.754058
1.743585, 30.655323, 992.477622, 1023.132946
1.759180, 31.018061, 3725.615677, 3756.633738
1.774775, 31.380799, 381.305729, 412.686528
1.790369, 31.743537, 5759.939280, 5791.682817
1.805964, 32.106275, 5557.637778, 5589.744053
1.821559, 32.469013, 1009.665929, 1042.134941
1.837154, 32.831751, 8636.425697, 8669.257447
1.852749, 33.194489, 4685.738779, 4718.933267
1.868343, 33.557227, 678.225608, 711.782834
1.883938, 33.919964, 477.929652, 511.849616
1.899533, 34.282702, 95.010382, 129.293084
1.915128, 34.645440, 1991.663119, 2026.308559
1.930722, 35.008178, 3514.088527, 3549.096706
1.946317, 35.370916, 2198.880452, 2234.251368
1.961912, 35.733654, 178.625099, 214.358753
1.977507, 36.096392, 2756.056188, 2792.152579
1.993101, 36.459130, 466.392650, 502.851780
2.008696, 36.821868, 3.310264, 40.132132
2.024291, 37.184606, 6409.587573, 6446.772179
2.039886, 37.547344, 6533.543499, 6571.090843
2.055481, 37.910081, 1465.543837, 1503.453918
2.071075, 38.272819, 8935.399040, 8973.671860
2.086670, 38.635557, 7355.604117, 7394.239675
2.102265, 38.998295, 2870.390747, 2909.389043
2.117860, 39.361033, 2502.681563, 2542.042596
2.133454, 39.723771, 12961.760989, 13001.484760
2.149049, 40.086509, 4748.967402, 4789.053911
2.164644, 40.449247, 20298.791283, 20339.240530
2.180239, 40.811985, 17033.518592, 17074.330576
2.195834, 41.174723, 43.868092, 85.042814
2.211428, 41.537461, 3292.872843, 3334.410304
2.227023, 41.900198, 12049.821605, 12091.721803
2.242618, 42.262936, 791.298678, 833.561615
2.258213, 42.625674, 2845.023585, 2887.649259
2.273807, 42.988412, 1031.528510, 1074.516922
2.289402, 43.351150, 18183.411068, 18226.762219
2.304997, 43.713888, 7203.302617, 7247.016505
2.320592, 44.076626, 5135.338986, 5179.415612
2.336187, 44.439364, 2322.714100, 2367.153464
2.351781, 44.802102, 2413.074980, 2457.877082
2.367376, 45.164840, 1714.010328, 1759.175167
2.382971, 45.527577, 913.022440, 958.550018
2.398566, 45.910713, 432.516522, 478.427235
2.414160, 46.494148, 2906.588796, 2953.082944
2.429755, 47.077583, 3193.050664, 3240.128247
2.445350, 47.661019, 24.690036, 72.351055
2.460945, 48.244454, 5.472849, 53.717303
2.476539, 48.827889, 8388.995724, 8437.823614
2.492134, 49.411324, 13641.646142, 13691.057466
2.507729, 49.994760, 3228.103349, 3278.098109
2.523324, 50.578195, 4168.565911, 4219.144106
2.538919, 51.161630, 391.922607, 443.084237
2.554513, 51.745066, 3131.759915, 3183.504980
2.570108, 52.328501, 45706.598318, 45758.926818
2.585703, 52.911936, 535.415836, 588.327772
2.601298, 53.495371, 458.592525, 512.087896
2.616892, 54.078807, 134.854336, 188.933142
2.632487, 54.662242, 12443.453925, 12498.116167
2.648082, 55.245677, 8009.547692, 8064.793369
2.663677, 55.829112, 95.808309, 151.637422
2.679272, 56.412548, 28826.726183, 28883.138731
2.694866, 56.995983, 642.599857, 699.595840
2.710461, 57.579418, 11425.304042, 11482.883460
2.726056, 58.162853, 7039.309789, 7097.472643
2.741651, 58.746289, 9644.455124, 9703.201413
2.757245, 59.329724, 16233.449765, 16292.779489
2.772840, 59.913159, 10570.838931, 10630.752090
2.788435, 60.496594, 7953.485225, 8013.981819
2.804030, 61.080030, 18.453158, 79.533188
2.819625, 61.663465, 4252.701374, 4314.364839
2.835219, 62.246900, 22.271223, 84.518123
2.850814, 62.830335, 5622.822589, 5685.652924
2.866409, 63.413771, 4695.562694, 4758.976465
2.882004, 63.997206, 2613.106908, 2677.104114
2.897598, 64.580641, 23497.274747, 23561.855388
2.913193, 65.164076, 31286.225289, 31351.389365
2.928788, 65.747512, 9077.608511, 9143.356022
2.944383, 66.330947, 21389.853067, 21456.184014
2.959977, 66.914382, 26545.781521, 26612.695903
2.975572, 67.497817, 9968.030627, 10035.528444
2.991167, 68.081253, 19305.978705, 19374.059958
3.006762, 68.664688, 12.822806, 81.487494
3.022357, 69.248123, 111375.349685, 111444.597808
3.037951, 69.831558, 32359.420088, 32429.251646
3.053546, 70.414994, 43.920198, 114.335191
3.069141, 70.998429, 11958.549326, 12029.547754
3.084736, 71.581864, 11733.607352, 11805.189216
3.100330, 72.165299, 18518.106044, 18590.271344
3.115925, 72.748735, 10995.437949, 11068.186684
3.131520, 73.332170, 26127.607579, 26200.939749
